prompt_id,cycle,level,delta_inf,boundary_margin,certified,topk_set_equal
81,16,0,0.00781,0.04688,True,True
81,16,1,0.01562,0.03906,True,True
81,16,2,0.01562,0.35156,True,True
81,16,3,0.01562,0.13281,True,True
81,16,4,0.01221,0.04688,True,True
81,17,0,0.01562,0.51562,True,True
81,17,1,0.01172,0.08594,True,True
81,17,2,0.01172,0.09375,True,True
81,17,3,0.01562,0.375,True,True
81,17,4,0.01562,0.32031,True,True
81,18,0,0.00781,0.125,True,True
81,18,1,0.01562,0.08594,True,True
81,18,2,0.0083,0.25391,True,True
81,18,3,0.00977,0.48438,True,True
81,18,4,0.01562,0.03906,True,True
81,19,0,0.00781,0.10938,True,True
81,19,1,0.00977,0.15625,True,True
81,19,2,0.01562,0.27344,True,True
81,19,3,0.01038,0.11719,True,True
81,19,4,0.01562,0.16406,True,True
82,0,0,0.00977,0.08594,True,True
82,0,1,0.01562,0.46875,True,True
82,0,2,0.01172,0.14062,True,True
82,0,3,0.02148,0.02344,False,True
82,0,4,0.02148,0.00781,False,True
82,1,0,0.00977,0.26562,True,True
82,1,1,0.01562,0.42578,True,True
82,1,2,0.01562,0.48438,True,True
82,1,3,0.01562,0.03906,True,True
82,1,4,0.01953,0.16406,True,True
82,2,0,0.00836,0.05469,True,True
82,2,1,0.01172,0.02344,False,True
82,2,2,0.01953,0.11719,True,True
82,2,3,0.00977,0.00781,False,True
82,2,4,0.01562,0.28125,True,True
82,3,0,0.01172,0.57812,True,True
82,3,1,0.01172,0.17969,True,True
82,3,2,0.01562,0.21094,True,True
82,3,3,0.01562,0.23438,True,True
82,3,4,0.03125,0.10156,True,True
82,4,0,0.00781,0.10156,True,True
82,4,1,0.01562,0.30469,True,True
82,4,2,0.01562,2.4375,True,True
82,4,3,0.01172,0.17188,True,True
82,4,4,0.01074,0.07812,True,True
82,5,0,0.00781,0.44531,True,True
82,5,1,0.01758,0.00781,False,False
82,5,2,0.01074,0.05859,True,True
82,5,3,0.01562,0.05078,True,True
82,5,4,0.01367,0.14062,True,True
82,6,0,0.00781,0.01562,False,True
82,6,1,0.01562,0.625,True,True
82,6,2,0.01562,0.58594,True,True
82,6,3,0.00977,0.05469,True,True
82,6,4,0.00781,0.21875,True,True
82,7,0,0.00781,0.14062,True,True
82,7,1,0.01562,0.6875,True,True
82,7,2,0.01562,0.01562,False,True
82,7,3,0.01294,0.67188,True,True
82,7,4,0.01562,0.07031,True,True
82,8,0,0.01562,0.61719,True,True
82,8,1,0.01172,0.05469,True,True
82,8,2,0.01172,0.57031,True,True
82,8,3,0.01562,0.08594,True,True
82,8,4,0.01562,0.65625,True,True
82,9,0,0.02344,0.10156,True,True
82,9,1,0.01562,0.33594,True,True
82,9,2,0.01562,0.29688,True,True
82,9,3,0.01562,0.00781,False,True
82,9,4,0.01019,0.20312,True,True
82,10,0,0.01562,0.07031,True,True
82,10,1,0.01172,0.03906,True,True
82,10,2,0.01562,0.10938,True,True
82,10,3,0.01562,0.09375,True,True
82,10,4,0.02344,0.30469,True,True
82,11,0,0.00781,0.5625,True,True
82,11,1,0.01001,0.28125,True,True
82,11,2,0.01562,0.05859,True,True
82,11,3,0.01562,0.25781,True,True
82,11,4,0.01562,0.39844,True,True
82,12,0,0.01562,0.32031,True,True
82,12,1,0.00977,0.19531,True,True
82,12,2,0.01172,0.46875,True,True
82,12,3,0.0127,0.22656,True,True
82,12,4,0.0083,0.60156,True,True
82,13,0,0.00781,0.10156,True,True
82,13,1,0.01562,0.04688,True,True
82,13,2,0.01562,0.5625,True,True
82,13,3,0.01172,0.17969,True,True
82,13,4,0.01562,0.35938,True,True
82,14,0,0.01562,0.0,False,True
82,14,1,0.00928,0.42188,True,True
82,14,2,0.01562,0.77344,True,True
82,14,3,0.01562,0.14844,True,True
82,14,4,0.01562,0.07812,True,True
82,15,0,0.00781,0.34375,True,True
82,15,1,0.01562,0.17188,True,True
82,15,2,0.01562,0.07812,True,True
82,15,3,0.01562,0.05469,True,True
82,15,4,0.01172,0.14844,True,True
83,0,0,0.00781,0.36719,True,True
83,0,1,0.01562,1.3125,True,True
83,0,2,0.01172,0.25,True,True
83,0,3,0.01367,0.07812,True,True
83,0,4,0.00781,0.54297,True,True
83,1,0,0.00977,0.09375,True,True
83,1,1,0.01953,0.28125,True,True
83,1,2,0.01562,0.05469,True,True
83,1,3,0.01562,0.01562,False,True
83,1,4,0.01562,0.25,True,True
83,2,0,0.01562,0.22656,True,True
83,2,1,0.01562,0.375,True,True
83,2,2,0.00781,0.16406,True,True
83,2,3,0.01172,0.00781,False,True
83,2,4,0.00879,0.03125,True,True
83,3,0,0.01172,0.0625,True,True
83,3,1,0.01562,0.05469,True,True
83,3,2,0.01294,0.46094,True,True
83,3,3,0.01562,0.42969,True,True
83,3,4,0.03125,0.05469,False,True
83,4,0,0.00781,0.09375,True,True
83,4,1,0.01562,0.04688,True,True
83,4,2,0.01562,0.01562,False,True
83,4,3,0.01562,0.17969,True,True
83,4,4,0.02344,0.01562,False,True
83,5,0,0.01562,0.10156,True,True
83,5,1,0.01562,0.09375,True,True
83,5,2,0.01562,0.00781,False,True
83,5,3,0.02344,0.02344,False,True
83,5,4,0.01562,0.23438,True,True
83,6,0,0.01562,0.14844,True,True
83,6,1,0.01562,0.05469,True,True
83,6,2,0.01562,0.03906,True,True
83,6,3,0.01562,0.04688,True,True
83,6,4,0.00879,0.34375,True,True
83,7,0,0.00781,0.72656,True,True
83,7,1,0.01172,0.14062,True,True
83,7,2,0.01562,0.25,True,True
83,7,3,0.00977,0.32812,True,True
83,7,4,0.01172,0.05469,True,True
83,8,0,0.00977,0.09375,True,True
83,8,1,0.01172,0.10156,True,True
83,8,2,0.02344,0.33594,True,True
83,8,3,0.0127,0.07031,True,True
83,8,4,0.01562,0.14062,True,True
83,9,0,0.01562,0.89844,True,True
83,9,1,0.00879,0.08594,True,True
83,9,2,0.01562,0.04688,True,True
83,9,3,0.01562,0.04688,True,True
83,9,4,0.01172,0.08594,True,True
83,10,0,0.01172,0.14062,True,True
83,10,1,0.01562,0.11719,True,True
83,10,2,0.01562,0.19531,True,True
83,10,3,0.00977,0.13281,True,True
83,10,4,0.01562,0.10156,True,True
83,11,0,0.00781,0.52344,True,True
83,11,1,0.01172,0.04688,True,True
83,11,2,0.01562,1.46875,True,True
83,11,3,0.01562,0.04688,True,True
83,11,4,0.01562,0.13281,True,True
83,12,0,0.00977,0.25,True,True
83,12,1,0.01562,0.125,True,True
83,12,2,0.01562,0.15625,True,True
83,12,3,0.01562,0.01562,False,True
83,12,4,0.01562,0.01562,False,True
83,13,0,0.01562,0.27344,True,True
83,13,1,0.00781,0.20703,True,True
83,13,2,0.01172,0.10938,True,True
83,13,3,0.00977,0.125,True,True
83,13,4,0.01562,0.46094,True,True
83,14,0,0.01562,0.48438,True,True
83,14,1,0.0144,0.3125,True,True
83,14,2,0.01172,0.00781,False,True
83,14,3,0.01172,0.15625,True,True
83,14,4,0.01562,0.02344,False,True
83,15,0,0.03125,0.17188,True,True
83,15,1,0.01562,0.11719,True,True
83,15,2,0.0238,0.00781,False,True
83,15,3,0.02148,0.48438,True,True
83,15,4,0.01562,0.02734,False,True
84,0,0,0.00879,0.10938,True,True
84,0,1,0.01562,0.14844,True,True
84,0,2,0.01562,0.10156,True,True
84,0,3,0.00977,0.0625,True,True
84,0,4,0.02344,0.07812,True,True
84,1,0,0.01172,0.13281,True,True
84,1,1,0.01562,0.02344,False,True
84,1,2,0.01562,0.07031,True,True
84,1,3,0.01758,0.10156,True,True
84,1,4,0.01367,0.02734,False,True
84,2,0,0.00781,0.42969,True,True
84,2,1,0.02344,0.32031,True,True
84,2,2,0.01562,0.11719,True,True
84,2,3,0.01465,0.20312,True,True
84,2,4,0.01562,0.10156,True,True
84,3,0,0.01172,0.16406,True,True
84,3,1,0.01172,0.11328,True,True
84,3,2,0.01318,0.00781,False,True
84,3,3,0.01562,1.14062,True,True
84,3,4,0.01001,0.11719,True,True
84,4,0,0.00781,0.05469,True,True
84,4,1,0.01562,0.25781,True,True
84,4,2,0.01562,0.28906,True,True
84,4,3,0.01562,0.01562,False,True
84,4,4,0.01562,0.01562,False,True
84,5,0,0.00903,0.125,True,True
84,5,1,0.01562,0.16406,True,True
84,5,2,0.01758,0.00781,False,False
84,5,3,0.00977,0.0625,True,True
84,5,4,0.01562,0.375,True,True
84,6,0,0.01172,0.15625,True,True
84,6,1,0.01367,0.36719,True,True
84,6,2,0.01562,0.14062,True,True
84,6,3,0.01562,0.19531,True,True
84,6,4,0.01562,0.03906,True,True
84,7,0,0.01953,0.02344,False,True
84,7,1,0.03125,0.46094,True,True
84,7,2,0.03125,0.875,True,True
84,7,3,0.00879,0.20312,True,True
84,7,4,0.00781,0.17188,True,True
84,8,0,0.00781,0.35547,True,True
84,8,1,0.00977,0.15625,True,True
84,8,2,0.01562,0.07031,True,True
84,8,3,0.03125,0.25,True,True
84,8,4,0.01562,0.07812,True,True
84,9,0,0.00781,0.14062,True,True
84,9,1,0.01562,0.13281,True,True
84,9,2,0.01172,0.40625,True,True
84,9,3,0.01367,0.39062,True,True
84,9,4,0.01562,0.20312,True,True
84,10,0,0.00781,0.07031,True,True
84,10,1,0.02148,0.10156,True,True
84,10,2,0.02344,0.15625,True,True
84,10,3,0.01172,0.10156,True,True
84,10,4,0.01562,0.00781,False,True
84,11,0,0.01562,0.05469,True,True
84,11,1,0.01953,0.00781,False,True
84,11,2,0.01562,0.02344,False,True
84,11,3,0.01562,0.11719,True,True
84,11,4,0.01172,0.03906,True,True
84,12,0,0.00879,0.10156,True,True
84,12,1,0.00781,0.22656,True,True
84,12,2,0.01367,0.0625,True,True
84,12,3,0.01367,0.02344,False,True
84,12,4,0.01562,0.28125,True,True
84,13,0,0.00977,0.09375,True,True
84,13,1,0.01172,0.24219,True,True
84,13,2,0.01562,0.28906,True,True
84,13,3,0.01562,0.07812,True,True
84,13,4,0.01367,0.09375,True,True
84,14,0,0.01562,0.11719,True,True
84,14,1,0.01562,0.06641,True,True
84,14,2,0.01172,0.125,True,True
84,14,3,0.01562,0.35156,True,True
84,14,4,0.01562,0.02344,False,True
84,15,0,0.01562,0.03906,True,True
84,15,1,0.01172,0.01562,False,True
84,15,2,0.00781,0.40625,True,True
84,15,3,0.01562,0.875,True,True
84,15,4,0.01562,0.46875,True,True
84,16,0,0.00781,0.35547,True,True
84,16,1,0.01172,0.14062,True,True
84,16,2,0.01172,0.13281,True,True
84,16,3,0.03125,0.57812,True,True
84,16,4,0.01562,0.4375,True,True
84,17,0,0.01562,0.1875,True,True
84,17,1,0.01562,0.50781,True,True
84,17,2,0.01172,0.28125,True,True
84,17,3,0.01562,0.27344,True,True
84,17,4,0.01562,0.08594,True,True
84,18,0,0.01562,0.91406,True,True
84,18,1,0.01562,0.13281,True,True
84,18,2,0.01367,0.33594,True,True
84,18,3,0.01562,0.17969,True,True
84,18,4,13.88281,0.03125,False,False
84,19,0,0.00781,0.67188,True,True
84,19,1,0.01562,0.35938,True,True
84,19,2,0.03125,0.09375,True,True
84,19,3,0.01562,0.01562,False,False
84,19,4,0.01172,0.03125,True,True
84,20,0,0.01025,0.08594,True,True
84,20,1,0.01562,0.26562,True,True
84,20,2,0.01562,0.03125,False,True
84,20,3,0.01562,0.00391,False,True
84,20,4,0.01367,0.66797,True,True
85,0,0,0.00781,0.17969,True,True
85,0,1,0.01562,0.25781,True,True
85,0,2,0.01172,0.40625,True,True
85,0,3,0.00879,0.07812,True,True
85,0,4,0.01172,0.33594,True,True
85,1,0,0.00781,0.0,False,True
85,1,1,0.00854,0.01562,False,True
85,1,2,0.01562,0.04688,True,True
85,1,3,0.01562,0.10156,True,True
85,1,4,0.02051,0.02344,False,True
85,2,0,0.01172,0.52344,True,True
85,2,1,0.00977,0.05469,True,True
85,2,2,0.01562,0.11719,True,True
85,2,3,0.0127,0.01562,False,True
85,2,4,0.00977,0.17969,True,True
85,3,0,0.00793,0.05469,True,True
85,3,1,0.01562,0.26562,True,True
85,3,2,0.01172,0.21094,True,True
85,3,3,0.01172,0.02344,False,True
85,3,4,0.01562,0.02734,False,True
85,4,0,0.00781,0.09375,True,True
85,4,1,0.01562,0.03125,False,True
85,4,2,0.01562,0.14844,True,True
85,4,3,0.02344,0.04688,False,True
85,4,4,0.01953,0.03125,False,True
85,5,0,0.00977,0.18359,True,True
85,5,1,0.01172,0.01562,False,True
85,5,2,0.01562,0.01562,False,False
85,5,3,0.01172,0.02344,False,True
85,5,4,0.02026,0.28906,True,True
85,6,0,0.00781,0.57422,True,True
85,6,1,0.00879,0.14062,True,True
85,6,2,0.01562,0.01562,False,True
85,6,3,0.01562,0.09766,True,True
85,6,4,0.01562,0.125,True,True
85,7,0,0.00781,0.19531,True,True
85,7,1,0.01562,0.0,False,True
85,7,2,0.01562,0.22656,True,True
85,7,3,0.01172,0.52344,True,True
85,7,4,0.01562,0.28516,True,True
85,8,0,0.01562,0.32031,True,True
85,8,1,0.01172,0.48828,True,True
85,8,2,0.01562,0.10156,True,True
85,8,3,0.01562,0.14844,True,True
85,8,4,0.01562,0.00781,False,True
85,9,0,0.00977,0.00391,False,True
85,9,1,0.01758,0.0625,True,True
85,9,2,0.01172,0.04297,True,True
85,9,3,0.01562,0.35938,True,True
85,9,4,0.01172,0.04688,True,True
85,10,0,0.00879,0.00781,False,True
85,10,1,0.01172,0.85938,True,True
85,10,2,0.00977,0.05469,True,True
85,10,3,0.01172,0.57031,True,True
85,10,4,0.01562,0.22656,True,True
85,11,0,0.00879,0.125,True,True
85,11,1,0.00977,0.32031,True,True
85,11,2,0.01562,0.10156,True,True
85,11,3,0.01562,0.26562,True,True
85,11,4,0.01562,0.0625,True,True
85,12,0,0.00781,0.52344,True,True
85,12,1,0.01172,0.42969,True,True
85,12,2,0.01562,0.01562,False,True
85,12,3,0.01562,0.14062,True,True
85,12,4,0.01562,0.03516,True,True
85,13,0,0.00781,0.39844,True,True
85,13,1,0.01367,0.125,True,True
85,13,2,0.01562,0.02344,False,True
85,13,3,0.01318,0.07812,True,True
85,13,4,0.01172,0.20312,True,True
85,14,0,0.00781,0.14062,True,True
85,14,1,0.01562,0.02344,False,True
85,14,2,0.01172,0.05469,True,True
85,14,3,0.01953,0.14062,True,True
85,14,4,0.01562,0.20312,True,True
85,15,0,0.01562,0.08594,True,True
85,15,1,0.01562,0.35156,True,True
85,15,2,0.01172,0.26562,True,True
85,15,3,0.0166,0.16406,True,True
85,15,4,0.01562,0.04688,True,True
85,16,0,0.01172,0.07812,True,True
85,16,1,0.0127,0.02734,True,True
85,16,2,0.01172,0.08594,True,True
85,16,3,0.0083,0.02344,True,True
85,16,4,0.01562,0.02344,False,True
85,17,0,0.01172,0.12109,True,True
85,17,1,0.01172,0.03906,True,True
85,17,2,0.00977,0.02344,True,True
85,17,3,0.01172,0.05469,True,True
85,17,4,0.01367,0.39062,True,True
85,18,0,0.00781,0.44531,True,True
85,18,1,0.01562,0.24219,True,True
85,18,2,0.01562,0.00781,False,True
85,18,3,0.01562,0.32031,True,True
85,18,4,0.01758,0.35938,True,True
85,19,0,0.00781,0.1875,True,True
85,19,1,0.01562,0.10547,True,True
85,19,2,0.01172,0.0625,True,True
85,19,3,0.01562,0.00781,False,True
85,19,4,0.01562,0.17969,True,True
85,20,0,0.0083,0.01172,False,True
85,20,1,0.01172,0.01953,False,True
85,20,2,0.01367,0.02344,False,True
85,20,3,0.01562,0.14062,True,True
85,20,4,0.01172,0.14844,True,True
85,21,0,0.01172,0.11719,True,True
85,21,1,0.01953,0.01562,False,False
85,21,2,0.01367,0.05469,True,True
85,21,3,0.01758,0.05469,True,True
85,21,4,0.01758,0.13281,True,True
85,22,0,0.00781,0.08594,True,True
85,22,1,0.01562,0.10156,True,True
85,22,2,0.01562,0.10938,True,True
85,22,3,0.00977,0.22656,True,True
85,22,4,0.01172,0.04688,True,True
85,23,0,0.00781,0.07812,True,True
85,23,1,0.01562,0.32812,True,True
85,23,2,0.01172,0.0625,True,True
85,23,3,0.01562,0.05469,True,True
85,23,4,0.01562,0.14844,True,True
85,24,0,0.00781,0.76562,True,True
85,24,1,0.01172,0.39844,True,True
85,24,2,0.00977,0.35156,True,True
85,24,3,0.01562,0.55469,True,True
85,24,4,0.01562,0.41406,True,True
86,0,0,0.00977,0.02344,True,True
86,0,1,0.0188,0.375,True,True
86,0,2,0.01562,0.07031,True,True
86,0,3,0.01562,0.56641,True,True
86,0,4,0.01562,0.0625,True,True
86,1,0,0.01562,0.35938,True,True
86,1,1,0.00781,0.35156,True,True
86,1,2,0.01172,0.09375,True,True
86,1,3,0.01172,0.10938,True,True
86,1,4,0.01172,0.07031,True,True
86,2,0,0.01562,0.84375,True,True
86,2,1,0.01758,0.3125,True,True
86,2,2,0.01172,0.29688,True,True
86,2,3,0.01562,0.00781,False,True
86,2,4,0.02344,0.17188,True,True
86,3,0,0.00781,0.04688,True,True
86,3,1,0.01367,0.00781,False,True
86,3,2,0.01172,0.01953,False,True
86,3,3,0.01562,0.27344,True,True
86,3,4,0.01172,0.08594,True,True
86,4,0,0.00781,0.09375,True,True
86,4,1,0.01172,0.07812,True,True
86,4,2,0.01025,0.03125,True,True
86,4,3,0.01636,0.04688,True,True
86,4,4,0.01172,0.16406,True,True
86,5,0,0.00781,0.5,True,True
86,5,1,0.01172,0.03125,True,True
86,5,2,0.01562,0.27344,True,True
86,5,3,0.01758,0.10156,True,True
86,5,4,0.01562,0.04688,True,True
86,6,0,0.00806,0.375,True,True
86,6,1,0.01562,0.03906,True,True
86,6,2,0.01562,0.07031,True,True
86,6,3,0.01562,0.09375,True,True
86,6,4,0.00977,0.0625,True,True
86,7,0,0.00781,0.55469,True,True
86,7,1,0.0083,0.02344,True,True
86,7,2,0.01172,0.01562,False,True
86,7,3,0.01172,0.16406,True,True
86,7,4,0.01172,0.00781,False,True
86,8,0,0.01172,0.01562,False,True
86,8,1,0.01562,0.13281,True,True
86,8,2,0.00977,0.33594,True,True
86,8,3,0.01562,0.03906,True,True
86,8,4,0.01562,0.14453,True,True
86,9,0,0.01172,0.10547,True,True
86,9,1,0.01562,0.05078,True,True
86,9,2,0.01562,0.04688,True,True
86,9,3,0.01172,0.02344,False,True
86,9,4,0.01172,0.10938,True,True
86,10,0,0.00781,0.00781,False,True
86,10,1,0.00879,0.02734,True,True
86,10,2,0.01172,0.09766,True,True
86,10,3,0.01562,0.10938,True,True
86,10,4,0.02344,0.01562,False,True
86,11,0,0.0332,0.08594,True,True
86,11,1,0.01953,0.00781,False,True
86,11,2,0.01562,0.17188,True,True
86,11,3,0.01562,0.10938,True,True
86,11,4,0.01172,0.10938,True,True
86,12,0,0.00781,0.30469,True,True
86,12,1,0.00977,0.13281,True,True
86,12,2,0.03125,0.03125,False,True
86,12,3,0.01953,0.09375,True,True
86,12,4,0.01562,0.17578,True,True
86,13,0,0.00781,0.01172,False,True
86,13,1,0.01562,0.20312,True,True
86,13,2,0.01562,0.09375,True,True
86,13,3,0.01562,0.38281,True,True
86,13,4,0.01172,0.17969,True,True
86,14,0,0.01367,0.28906,True,True
86,14,1,0.01172,0.04297,True,True
86,14,2,0.01172,0.20312,True,True
86,14,3,0.01562,0.21875,True,True
86,14,4,0.01562,0.10156,True,True
86,15,0,0.01562,0.20703,True,True
86,15,1,0.01562,0.05469,True,True
86,15,2,0.01172,0.09375,True,True
86,15,3,0.01785,0.28125,True,True
86,15,4,0.01562,0.125,True,True
86,16,0,0.00879,0.05469,True,True
86,16,1,0.01172,0.08984,True,True
86,16,2,0.00977,0.21094,True,True
86,16,3,0.01172,0.20703,True,True
86,16,4,0.01562,0.22656,True,True
86,17,0,0.00781,0.5,True,True
86,17,1,0.01172,0.1875,True,True
86,17,2,0.01175,0.00781,False,True
86,17,3,0.02344,0.125,True,True
86,17,4,0.01562,0.10156,True,True
86,18,0,0.01172,0.24219,True,True
86,18,1,0.00977,0.05469,True,True
86,18,2,0.00977,0.28125,True,True
86,18,3,0.01562,0.16406,True,True
86,18,4,0.01562,0.40625,True,True
86,19,0,0.00781,0.33594,True,True
86,19,1,0.01221,0.00391,False,True
86,19,2,0.01953,0.14844,True,True
86,19,3,0.01562,0.04688,True,True
86,19,4,0.00879,0.10156,True,True
86,20,0,0.01562,1.13281,True,True
86,20,1,0.01172,0.19531,True,True
86,20,2,0.01562,0.04688,True,True
86,20,3,0.01172,0.01172,False,True
86,20,4,0.0127,0.03125,True,True
86,21,0,0.01172,0.04688,True,True
86,21,1,0.01562,0.05469,True,True
86,21,2,0.01172,0.19531,True,True
86,21,3,0.01562,0.15625,True,True
86,21,4,0.0166,0.01562,False,True
86,22,0,0.00781,0.24219,True,True
86,22,1,0.01562,0.25781,True,True
86,22,2,0.01172,0.01562,False,True
86,22,3,0.00977,0.21094,True,True
86,22,4,0.01562,0.16406,True,True
86,23,0,0.01562,0.23438,True,True
86,23,1,0.01562,0.0625,True,True
86,23,2,0.0166,0.07031,True,True
86,23,3,0.01562,0.38281,True,True
86,23,4,0.01172,0.12109,True,True
87,0,0,0.00781,0.23438,True,True
87,0,1,0.01562,0.01562,False,True
87,0,2,0.01562,0.05078,True,True
87,0,3,0.01562,0.05469,True,True
87,0,4,0.00977,0.26562,True,True
87,1,0,0.00781,0.08594,True,True
87,1,1,0.00879,0.14844,True,True
87,1,2,0.01562,0.26562,True,True
87,1,3,0.01562,0.52344,True,True
87,1,4,0.02148,0.05469,True,True
87,2,0,0.01562,0.0,False,False
87,2,1,0.01758,0.04688,True,True
87,2,2,0.01562,0.48438,True,True
87,2,3,0.01172,0.02344,False,True
87,2,4,0.01172,0.52344,True,True
87,3,0,0.01562,0.25,True,True
87,3,1,0.01562,0.34375,True,True
87,3,2,0.01562,0.25781,True,True
87,3,3,0.01172,0.3125,True,True
87,3,4,0.01562,0.02344,False,True
87,4,0,0.01562,0.17188,True,True
87,4,1,0.00977,0.19922,True,True
87,4,2,0.01562,0.42188,True,True
87,4,3,0.01562,0.35938,True,True
87,4,4,0.00977,0.16406,True,True
87,5,0,0.00879,0.05859,True,True
87,5,1,0.01562,0.60156,True,True
87,5,2,0.01562,0.17969,True,True
87,5,3,0.01562,0.6875,True,True
87,5,4,0.01172,0.04688,True,True
87,6,0,0.01562,0.09375,True,True
87,6,1,0.00781,0.08594,True,True
87,6,2,0.01562,0.16797,True,True
87,6,3,0.01562,0.00781,False,True
87,6,4,0.0127,0.17188,True,True
87,7,0,0.01562,0.0,False,True
87,7,1,0.01172,0.04297,True,True
87,7,2,0.01953,0.00781,False,True
87,7,3,0.01562,0.18359,True,True
87,7,4,0.01221,0.00781,False,True
87,8,0,0.01562,0.10938,True,True
87,8,1,0.01172,0.28516,True,True
87,8,2,0.03125,0.375,True,True
87,8,3,0.01172,0.00781,False,True
87,8,4,0.03125,0.39844,True,True
87,9,0,0.00781,0.14062,True,True
87,9,1,0.00903,0.07812,True,True
87,9,2,0.01367,0.29688,True,True
87,9,3,0.01562,0.09375,True,True
87,9,4,0.01562,0.08594,True,True
87,10,0,0.01562,0.26953,True,True
87,10,1,0.01562,0.21875,True,True
87,10,2,0.02344,0.11719,True,True
87,10,3,0.01562,0.01562,False,True
87,10,4,0.01562,0.30469,True,True
87,11,0,0.02344,0.10156,True,True
87,11,1,0.01172,0.01953,False,True
87,11,2,0.01562,0.04688,True,True
87,11,3,0.02344,0.32031,True,True
87,11,4,0.01562,0.07812,True,True
87,12,0,0.00781,0.09766,True,True
87,12,1,0.00977,0.29297,True,True
87,12,2,0.01562,0.13281,True,True
87,12,3,0.01172,0.14062,True,True
87,12,4,0.01172,0.22656,True,True
87,13,0,0.00781,0.15625,True,True
87,13,1,0.01562,0.01172,False,True
87,13,2,0.01172,0.16016,True,True
87,13,3,0.01172,0.23438,True,True
87,13,4,0.01758,0.25,True,True
87,14,0,0.00781,0.04688,True,True
87,14,1,0.00818,0.82812,True,True
87,14,2,0.01172,0.04297,True,True
87,14,3,0.01367,0.02344,False,True
87,14,4,0.01562,0.03125,False,True
87,15,0,0.00977,0.01172,False,True
87,15,1,0.00977,0.01562,False,True
87,15,2,0.03125,0.01953,False,True
87,15,3,0.01562,0.38281,True,True
87,15,4,0.01172,0.35938,True,True
87,16,0,0.00879,0.1875,True,True
87,16,1,0.01562,0.00781,False,True
87,16,2,0.01172,0.0625,True,True
87,16,3,0.01172,0.3125,True,True
87,16,4,0.00977,0.1875,True,True
87,17,0,0.01172,0.23047,True,True
87,17,1,0.0166,0.59375,True,True
87,17,2,0.01367,0.00781,False,True
