site,layer,x_dim,w_shape,A_only_nmse,W_only_nmse,AW_nmse,interaction_nmse,AW_cosine,max_abs_err_AW,verdict,n_rows
v_ctx,2,4096,1024x4096,0.4918728768825531,0.01640404760837555,0.5067949295043945,-0.0014819949865341187,0.7035331726074219,34.908329010009766,activation_driven,4000
o,2,4096,4096x4096,0.024284683167934418,0.015043897554278374,0.03987307846546173,0.0005444977432489395,0.9806338548660278,34.69023895263672,mixed,480
gate,2,4096,12288x4096,0.031146008521318436,0.025935206562280655,0.05787290632724762,0.000791691243648529,0.9723047614097595,5.082828521728516,mixed,480
up,2,4096,12288x4096,0.048093732446432114,0.03905411809682846,0.08831368386745453,0.0011658333241939545,0.9584870338439941,6.808931350708008,mixed,480
down,2,12288,4096x12288,0.01631942018866539,0.020777668803930283,0.03754446655511856,0.0004473775625228882,0.981688916683197,49.7906379699707,mixed,480
q,3,4096,4096x4096,0.010451963171362877,0.008906022645533085,0.019643472507596016,0.00028548669070005417,0.9902852773666382,15.430107116699219,mixed,480
k_noise,3,4096,1024x4096,0.0166720449924469,0.014919878914952278,0.03195890784263611,0.00036698393523693085,0.9845418930053711,10.672295570373535,mixed,480
v_noise,3,4096,1024x4096,0.05199502408504486,0.04301517829298973,0.09619953483343124,0.0011893324553966522,0.9554128050804138,10.456823348999023,mixed,480
k_ctx,3,4096,1024x4096,0.25412294268608093,0.007459419313818216,0.2604263424873352,-0.0011560195125639439,0.8620195388793945,52.38658142089844,activation_driven,4000
v_ctx,3,4096,1024x4096,0.5160552859306335,0.01914319396018982,0.5333604216575623,-0.0018380582332611084,0.6832913756370544,48.700828552246094,activation_driven,4000
o,3,4096,4096x4096,0.01741093024611473,0.010697523131966591,0.028544221073389053,0.00043576769530773163,0.9860585331916809,73.38774108886719,mixed,480
gate,3,4096,12288x4096,0.03467414900660515,0.03001008927822113,0.06554841250181198,0.0008641742169857025,0.9686359167098999,5.0171966552734375,mixed,480
up,3,4096,12288x4096,0.03924940153956413,0.03443581610918045,0.07465919107198715,0.000973973423242569,0.9646217823028564,5.419129371643066,mixed,480
down,3,12288,4096x12288,0.0186135396361351,0.023576311767101288,0.04273337870836258,0.0005435273051261902,0.9793040156364441,74.71614837646484,mixed,480
q,4,4096,4096x4096,0.012390007264912128,0.009692808613181114,0.022421419620513916,0.00033860374242067337,0.9890005588531494,14.519363403320312,mixed,480
k_noise,4,4096,1024x4096,0.020589657127857208,0.016659563407301903,0.037745967507362366,0.0004967469722032547,0.9813876748085022,7.337448596954346,mixed,480
v_noise,4,4096,1024x4096,0.05976932868361473,0.04806164652109146,0.10934248566627502,0.0015115104615688324,0.9488967657089233,9.492898941040039,mixed,480
k_ctx,4,4096,1024x4096,0.2575300633907318,0.008160914294421673,0.26417988538742065,-0.00151109229773283,0.859990656375885,42.736324310302734,activation_driven,4000
v_ctx,4,4096,1024x4096,0.5929343104362488,0.024312324821949005,0.6131188273429871,-0.004127807915210724,0.6301751732826233,41.892635345458984,activation_driven,4000
o,4,4096,4096x4096,0.013811633922159672,0.012574604712426662,0.026800941675901413,0.00041470304131507874,0.986851155757904,55.26959228515625,mixed,480
gate,4,4096,12288x4096,0.02896159514784813,0.024763185530900955,0.05446266382932663,0.0007378831505775452,0.9737491011619568,4.4176483154296875,mixed,480
up,4,4096,12288x4096,0.03078414872288704,0.02591504342854023,0.0575103722512722,0.0008111800998449326,0.9723933339118958,4.883476734161377,mixed,480
down,4,12288,4096x12288,0.0057059540413320065,0.007352483458817005,0.013237268663942814,0.00017883116379380226,0.9934386610984802,96.17891693115234,mixed,480
