path	size_bytes	mtime	git_status	file_type	sha256	classification	referenced_by	action	reason	canonical_path
eagle_learned_rotation_al_sensitivity_latest.tar.gz	0	-	untracked	symlink	-	symlink	keep	-> eagle_learned_rotation_al_sensitivity_20260716_192113.tar.gz	eagle_learned_rotation_al_sensitivity_20260716_192113.tar.gz	-
eagle_lk_exactpath_draft_rotation_20260721_151703.tar.gz	57015	1784704898	untracked	.gz	e7e12ae813380603d396108cc562f56f636cd91fd10d9b41fcd01c0171e43600	final-bundle	-	keep	research bundle/provenance	-
eagle_lk_exactpath_draft_rotation_latest.tar.gz	0	-	untracked	symlink	-	symlink	keep	-> eagle_lk_exactpath_draft_rotation_20260721_151703.tar.gz	eagle_lk_exactpath_draft_rotation_20260721_151703.tar.gz	-
eagle_lras_interpretation_bundle_20260717_161942.tar.gz	1224802	1784272824	untracked	.gz	b72063a74fa1e81b08a62ee41078e9cd76a4467b06f9a3d5f438f2fc6f2312bc	final-bundle	-	keep	research bundle/provenance	-
eagle_lras_interpretation_bundle_latest.tar.gz	0	-	untracked	symlink	-	symlink	keep	-> eagle_lras_interpretation_bundle_20260717_161942.tar.gz	eagle_lras_interpretation_bundle_20260717_161942.tar.gz	-
eagle_p2_p3_scale_migration_audit_20260722_142853.tar.gz	1041309	1784701631	untracked	.gz	b700ffd914cc194803f03c62282c4b987bf04467123c1b9dfb63d5b56b901b11	final-bundle	-	keep	research bundle/provenance	-
eagle_p2_p3_scale_migration_audit_latest.tar.gz	0	-	untracked	symlink	-	symlink	keep	-> eagle_p2_p3_scale_migration_audit_20260722_142853.tar.gz	eagle_p2_p3_scale_migration_audit_20260722_142853.tar.gz	-
eagle_ptq_vs_qat_al_20260723_143129.tar.gz	1231481	1784884791	untracked	.gz	a96bbbd7021b2740d62f923743225aacc79f09a5b6432d82e908471278431848	final-bundle	-	keep	research bundle/provenance	-
eagle_ptq_vs_qat_al_latest.tar.gz	1231481	1784884791	untracked	.gz	a96bbbd7021b2740d62f923743225aacc79f09a5b6432d82e908471278431848	duplicate-bundle-copy	name-only strings in scripts/print_*_final_output.py	replace-with-symlink	byte-identical to timestamped canonical (cmp verified)	eagle_ptq_vs_qat_al_20260723_143129.tar.gz
eagle_spinquant_bitwidth_al_review_bundle_20260715_095813.tar.gz	13942809	1784077141	untracked	.gz	307e3708ae09f31d1c893423180205d3ff7f5e4a95c06b42841baf665b770014	final-bundle	-	keep	research bundle/provenance	-
eagle_spinquant_ppl_reproduction_fix_latest.tar.gz	0	-	untracked	symlink	-	symlink	keep	-> /data/thahn1230/eagle_spinquant_ppl_reproduction_fix_20260716_181726.tar.gz	/data/thahn1230/eagle_spinquant_ppl_reproduction_fix_20260716_181726.tar.gz	-
eagle_target_logit_draft_rotation_w4a4kv4_20260717_170003.tar.gz	923932	1784304436	untracked	.gz	53dc5040cf313ee527c3be021d88a7cb3b0a76f57b2f78f63af0fee6bc1d5f4c	final-bundle	-	keep	research bundle/provenance	-
eagle_target_logit_draft_rotation_w4a4kv4_latest.tar.gz	0	-	untracked	symlink	-	symlink	keep	-> eagle_target_logit_draft_rotation_w4a4kv4_20260717_170003.tar.gz	eagle_target_logit_draft_rotation_w4a4kv4_20260717_170003.tar.gz	-
eagle_tldr_kv4_review_bundle_20260718_132823.tar.gz	57895874	1784348950	untracked	.gz	d336b3aeac1ca155eaa2c22f8a2119e2b2c7934075ec9f47c84dbfaa7dead0b4	final-bundle	-	keep	research bundle/provenance	-
eagle_tldr_kv4_review_bundle_latest.tar.gz	0	-	untracked	symlink	-	symlink	keep	-> eagle_tldr_kv4_review_bundle_20260718_132823.tar.gz	eagle_tldr_kv4_review_bundle_20260718_132823.tar.gz	-
ep3p_projection_visualization_20260801_104655.tar.gz	552238251	1785554151	untracked	.gz	52e01dd7e534540073f68e08343e99170eccf97e8f3c7b33e053bf8ed79cbaa6	final-bundle	-	keep	research bundle/provenance	-
ep3p_projection_visualization_20260801_104655.tar.gz.sha256	119	1785554154	untracked	.sha256	1ecedb4935b106c23a5373a5348a21e6c84ce50bd2f795d7d154a357349ba906	final-bundle	-	keep	research bundle/provenance	-
ep3p_projection_visualization_latest.tar.gz	552238251	1785554152	untracked	.gz	52e01dd7e534540073f68e08343e99170eccf97e8f3c7b33e053bf8ed79cbaa6	duplicate-bundle-copy	name-only strings in scripts/print_*_final_output.py	replace-with-symlink	byte-identical to timestamped canonical (cmp verified)	ep3p_projection_visualization_20260801_104655.tar.gz
giveGPT.sh	3958	1785766735	modified	.sh	-	misc	-	keep	uncertain -> preserve	-
make_bitwidth_al_review_bundle.sh	11462	1784077093	tracked	.sh	-	misc	-	keep	uncertain -> preserve	-
make_concat_selective_review_bundle.sh	8421	1784041310	tracked	.sh	-	misc	-	keep	uncertain -> preserve	-
pack_tldr_kv4_review_bundle.sh	15891	1784348903	untracked	.sh	-	misc	-	keep	uncertain -> preserve	-
seagle_int4_tensorcore_e2e_20260803.tar.gz	13910	1785758654	untracked	.gz	7c190364850138dfc7991563387ba49d4dbce13b950b407ec2f8e3dc9a4c784c	final-bundle	-	keep	research bundle/provenance	-
seagle_int4_tensorcore_e2e_20260803.tar.gz.sha256	109	1785758654	untracked	.sha256	148a4ed747c2a56d50165d2c1828c8ef7db877232b960b2487d6aa567494d38b	final-bundle	-	keep	research bundle/provenance	-
specmquant_target_precision_sweep_20260803.tar.gz	4859132	1785766811	untracked	.gz	872892a109d256b1976e12c621d215ccdc3f15f994b882f27ef7db56932d528f	final-bundle	-	keep	research bundle/provenance	-
src/eagle_spinquant/__init__.py	0	1782983662	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/b2_projection.py	18359	1784025194	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/causal_interface.py	2307	1784277539	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/concat_selective_projection.py	31463	1785751072	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/draft_conjugation.py	4316	1782984358	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/draft_rotation.py	10901	1784279918	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/eagle_bridge.py	5491	1783156738	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/embedding_scale_reparameterization.py	5328	1784197646	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/eval_datasets.py	5688	1784821896	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/exact_qat_rotated_draft.py	672	1784651193	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/exact_quantized_rotation_forward.py	20979	1785259380	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/experiment.py	1394	1782984628	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/fake_w4a4_draft.py	17947	1783450103	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/fake_w8a8_draft.py	1297	1783450207	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/hadamard_shim.py	1911	1782984104	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/kv4_cache.py	7052	1784276321	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/lk_losses.py	4253	1784615950	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/logging_utils.py	5935	1782984006	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/long_ea_generate.py	4345	1784293385	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/metrics.py	6367	1782984061	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/model_discovery.py	5578	1782984141	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/official_ppl.py	2675	1784083114	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/onpolicy_draft_rollout.py	1856	1784616614	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/projection_rotation.py	14468	1785750550	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/pure_r1_eagle.py	3609	1783430146	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/real_int4_linear.py	4250	1785761122	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/realint4.py	10592	1783159553	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/rejection_sampling.py	1249	1784621209	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/residual_rotation.py	4529	1784615975	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/rotated_target.py	3835	1782985095	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/rotation_aware.py	19947	1784025194	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/rotation_interface.py	6923	1782984316	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/spinquant_bridge.py	15388	1782984904	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/spinquant_draft.py	13080	1783442578	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/study.py	23107	1784044421	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/tail_unfused.py	9704	1783429117	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/variant_eval.py	4862	1782985540	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/w4a4_impl_fix.py	9827	1783434118	tracked	.py	-	source	-	keep	code/config	-
src/eagle_spinquant/__pycache__/__init__.cpython-312.pyc	128	1782993822	untracked	.pyc	b769835eb1f844f025abdfaec11bb2758056c451016f9fd4ebbc20d7b1059e60	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/b2_projection.cpython-312.pyc	23810	1784025195	untracked	.pyc	4c2d8dd4b05278e39cfecb9c816b3ae3c99678aee67c0fe84eb184584f91c427	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/causal_interface.cpython-312.pyc	3381	1784277541	untracked	.pyc	7a1cd27d8b715caf5983a805a6de326cebb90aa8f08c156ee650eb1877845c84	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/concat_selective_projection.cpython-312.pyc	38685	1785751073	untracked	.pyc	6e253a471fb79f298f449c3a906a303cf189c6599ce1b9c87cc415058a2e355e	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/draft_conjugation.cpython-312.pyc	6689	1782993822	untracked	.pyc	b9063e9d715524c4ffaa7305f101754f95b1ddced00bafa0414e4882a5eb4b92	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/draft_rotation.cpython-312.pyc	17508	1784279921	untracked	.pyc	3a883c825dccfc74eedb8bf764d74ffa8d7b155b5fc7fad4bfdb7ab3f531a46c	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/eagle_bridge.cpython-312.pyc	6699	1783157029	untracked	.pyc	1be3a71954ea017ad860e8d1334acb443f6cd0955f25ba66c080b551a5508f60	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/embedding_scale_reparameterization.cpython-312.pyc	9376	1784198501	untracked	.pyc	97be697367fb70e5fde0bdfab167f8513f6277a5c4ac7a1081dd47e18b7e8c5c	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/eval_datasets.cpython-312.pyc	8837	1784823290	untracked	.pyc	321886435388b8f154d1997b6d77a2e3c758e6adba5b7eeabe17c57f683d518c	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/exact_qat_rotated_draft.cpython-312.pyc	835	1784651193	untracked	.pyc	b2008a037d1ef1e2de3ed31993aecf651ec9778160e76cdc33429db6d746ff0e	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/exact_quantized_rotation_forward.cpython-312.pyc	32400	1785259611	untracked	.pyc	8acec2d55356d8b62ff9df29d2700485c0a967204d3ff019d80092e2b989ee5b	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/experiment.cpython-312.pyc	2576	1782993822	untracked	.pyc	b7d88a0d540e6ac3fd95519a719dd9b7a5946ee3f70c55f3329496ee0ace5813	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/fake_w4a4_draft.cpython-312.pyc	26491	1783450352	untracked	.pyc	f1ff6a2594cc44a33cd3521c42c19b3c31c896ac0c01cf2b335fe3f97499805a	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/fake_w8a8_draft.cpython-312.pyc	1908	1783450352	untracked	.pyc	38b19f570fb40342447e960ef03891d86a3711a12b83f65862ae8c40c4ae280b	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/hadamard_shim.cpython-312.pyc	2886	1782993822	untracked	.pyc	b6ff4bfa7dfa9819c9c12e5267ad665591ffef3693b05cce4363f865b65d0a80	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/kv4_cache.cpython-312.pyc	12094	1784277817	untracked	.pyc	02160b73c06d6cd7fc65e492e72399fe659ac402d18f6bc389dc6608abe28059	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/lk_losses.cpython-312.pyc	7986	1784616864	untracked	.pyc	0c1478fb1eed6a24a08914dbf6d57f7ae4f8e6070f117da995fe3e0040da6472	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/logging_utils.cpython-312.pyc	10383	1782993822	untracked	.pyc	1d2fab37f64870465d52bd653761dabe368bf54361663268d08b10787edf0a81	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/long_ea_generate.cpython-312.pyc	4544	1784293523	untracked	.pyc	19acf5a2cc121d851d948df324d97755c67a56609a8d76fcf9af12b6e6a144b6	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/metrics.cpython-312.pyc	8848	1782993822	untracked	.pyc	c095be995f52ac3c957fd60c89a1f3a38d59346e5fb8dc6dc2ff93f1e5b9d5be	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/model_discovery.cpython-312.pyc	8775	1782993822	untracked	.pyc	06836e8350bc62f4f2b59a6984fc85e29077fb7dd089be56ef518483b36f95fc	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/official_ppl.cpython-312.pyc	4486	1784083767	untracked	.pyc	68b4a8300e1c2eae99369356cf2213aedad0608828a891f6bb18b2370ba01f06	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/onpolicy_draft_rollout.cpython-312.pyc	3274	1784635646	untracked	.pyc	2e4a783107dd54d87d65ba3806e50bbae2173dd39e275f3748501b510f213f5b	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/projection_rotation.cpython-312.pyc	25362	1785750551	untracked	.pyc	08c50cd0ab7dc7071358c0143e8b6c0e963a4bdb5f8a16aeab06858a6259816f	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/pure_r1_eagle.cpython-312.pyc	5766	1783430158	untracked	.pyc	351085db47a67fb3ff5533ddbf658d51e624fd02d9b5933e0cafce40c36c48e7	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/real_int4_linear.cpython-312.pyc	7222	1785761123	untracked	.pyc	cb5c164043e1306b60d5a67c78b5fa5aa465f6911c346f68340f4204f6de046a	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/realint4.cpython-312.pyc	15152	1783159573	untracked	.pyc	c0a0d2991f52227f9c6725f06f10325db5ba51a5f09655cfa1629864e3ac3926	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/rejection_sampling.cpython-312.pyc	2044	1784621247	untracked	.pyc	22f94cec53401bb615da31176c1d3429a56cd9f6aaa69827d4a82e8c2db7eac5	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/residual_rotation.cpython-312.pyc	9855	1784616864	untracked	.pyc	b68427d56a3a9d37beb3854f0ebc2e0a4d8fff1dec6d7b1037150b34ac0eb8e5	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/rotated_target.cpython-312.pyc	4508	1782993822	untracked	.pyc	914ddb34a04c2c6de298009dd72aca36610050216314c90b922b46f2ed12d1b8	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/rotation_aware.cpython-312.pyc	30206	1784025195	untracked	.pyc	40e3c516c3e0d64f6bc8dfc62257138dd516e818d627e0748de158e43fecd999	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/rotation_interface.cpython-312.pyc	9597	1782993822	untracked	.pyc	88177e8b16e93392ca6a78336bef9d7311cc3a297889385b9272850901ab9b55	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/spinquant_bridge.cpython-312.pyc	19286	1782993822	untracked	.pyc	abbcc48f19af4e697255c2f529f2496f72bc6b90d0396384915fab02557b1a40	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/spinquant_draft.cpython-312.pyc	18979	1783442598	untracked	.pyc	13eac00361595275fd9b9e09c747a554b8704568afccc5e27738931a7500cc9e	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/study.cpython-312.pyc	32814	1784044568	untracked	.pyc	4e8fed77d6b22e0f8190661017ef59b17e7a5902a0029ed0f2045273eb2cfe2b	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/tail_unfused.cpython-312.pyc	13433	1783429206	untracked	.pyc	e29924a40bdaec8f7d92343835eda9ab3ceacc70209cd4ac183fd6628e811ef1	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/variant_eval.cpython-312.pyc	6130	1782993822	untracked	.pyc	1550c6c7112dd0aa4f6688c00c692b1fa5f29b9744d52c69fe924e0e482639b8	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
src/eagle_spinquant/__pycache__/w4a4_impl_fix.cpython-312.pyc	13691	1783434152	untracked	.pyc	f145fbbd97e7e73e20275254dccc1280928a078af0e6452c3d2a06d3132f99bf	regenerable-cache	-	delete	python/pytest cache, auto-regenerated	-
tests/_ep3p_viz_common.py	837	1785549355	tracked	.py	-	source	-	keep	code/config	-
tests/_lrgf_common.py	514	1785750515	tracked	.py	-	source	-	keep	code/config	-
tests/_rep3p_common.py	842	1785722079	tracked	.py	-	source	-	keep	code/config	-
tests/b2_common.py	3539	1784019249	tracked	.py	-	source	-	keep	code/config	-
tests/test_b2_concat_order.py	1890	1784019789	tracked	.py	-	source	-	keep	code/config	-
tests/test_b2_first_projection_algebra.py	2376	1784019372	tracked	.py	-	source	-	keep	code/config	-
tests/test_b2_first_vs_recurrent_weights.py	1245	1784019406	tracked	.py	-	source	-	keep	code/config	-
tests/test_b2_full_eagle_equivalence.py	2627	1784020246	tracked	.py	-	source	-	keep	code/config	-
tests/test_b2_gamma_applied_once.py	3250	1784020246	tracked	.py	-	source	-	keep	code/config	-
tests/test_b2_recurrent_projection_algebra.py	1671	1784019391	tracked	.py	-	source	-	keep	code/config	-
tests/test_b2_state_reset.py	1626	1784020029	tracked	.py	-	source	-	keep	code/config	-
tests/test_b2_tree_dispatch.py	2571	1784019909	tracked	.py	-	source	-	keep	code/config	-
tests/test_b2_verifier_equivalence.py	1431	1784021286	tracked	.py	-	source	-	keep	code/config	-
tests/test_concat_embedding_unchanged.py	1889	1784029869	tracked	.py	-	source	-	keep	code/config	-
tests/test_concat_selective_dispatch.py	2591	1784034364	tracked	.py	-	source	-	keep	code/config	-
tests/test_concat_selective_first_explicit.py	1740	1784029554	tracked	.py	-	source	-	keep	code/config	-
tests/test_concat_selective_first_folded.py	1261	1784029602	tracked	.py	-	source	-	keep	code/config	-
tests/test_concat_selective_full_chain.py	3147	1784029920	tracked	.py	-	source	-	keep	code/config	-
tests/test_concat_selective_gamma_once.py	3417	1784029895	tracked	.py	-	source	-	keep	code/config	-
tests/test_concat_selective_recurrent_explicit.py	1238	1784029616	tracked	.py	-	source	-	keep	code/config	-
tests/test_concat_selective_recurrent_folded.py	1842	1784029749	tracked	.py	-	source	-	keep	code/config	-
tests/test_concat_selective_tree_generation.py	1527	1784029953	tracked	.py	-	source	-	keep	code/config	-
tests/test_eagle1_data_sharding.py	1492	1784896787	tracked	.py	-	source	-	keep	code/config	-
tests/test_eagle1_official_init.py	2802	1784896748	tracked	.py	-	source	-	keep	code/config	-
tests/test_eagle1_official_loss.py	3335	1784897961	tracked	.py	-	source	-	keep	code/config	-
tests/test_ep3p_first_migration_values.py	675	1785549383	tracked	.py	-	source	-	keep	code/config	-
tests/test_ep3p_fp_projection_equivalence.py	926	1785549383	tracked	.py	-	source	-	keep	code/config	-
tests/test_ep3p_full_projection_boundary.py	976	1785549546	tracked	.py	-	source	-	keep	code/config	-
tests/test_ep3p_hidden_region_unchanged.py	987	1785549546	tracked	.py	-	source	-	keep	code/config	-
tests/test_ep3p_plot_data_reproducibility.py	696	1785549383	tracked	.py	-	source	-	keep	code/config	-
tests/test_ep3p_plot_tensor_orientation.py	766	1785549383	tracked	.py	-	source	-	keep	code/config	-
tests/test_ep3p_recurrent_migration_values.py	450	1785549383	tracked	.py	-	source	-	keep	code/config	-
tests/test_fp_equivalence.py	5871	1782985135	tracked	.py	-	source	-	keep	code/config	-
tests/test_gq_p3exp_contracts.py	5856	1785486764	tracked	.py	-	source	-	keep	code/config	-
tests/test_kv4_cache.py	4915	1784275685	tracked	.py	-	source	-	keep	code/config	-
tests/test_lk_losses.py	3515	1784616734	tracked	.py	-	source	-	keep	code/config	-
tests/test_lras_study.py	8813	1784207968	tracked	.py	-	source	-	keep	code/config	-
tests/test_lrgf_contracts.py	5612	1785750550	tracked	.py	-	source	-	keep	code/config	-
tests/test_math_sanity.py	4136	1782984490	tracked	.py	-	source	-	keep	code/config	-
tests/test_ppl_reproduction.py	5620	1784102109	tracked	.py	-	source	-	keep	code/config	-
tests/test_ptq_vs_qat_study.py	11729	1784787620	tracked	.py	-	source	-	keep	code/config	-
tests/test_rcal_contracts.py	5238	1785486752	tracked	.py	-	source	-	keep	code/config	-
tests/test_rejection_sampling.py	1891	1784621224	tracked	.py	-	source	-	keep	code/config	-
tests/test_residual_rotation.py	2717	1784617101	tracked	.py	-	source	-	keep	code/config	-
tests/test_rms_gamma_rotation_noncommutativity.py	2459	1784019347	tracked	.py	-	source	-	keep	code/config	-
tests/test_rotated_ep3p_blockdiag_does_not_mix_branches.py	396	1785722079	tracked	.py	-	source	-	keep	code/config	-
tests/test_rotated_ep3p_first_fp_equivalence.py	1105	1785722079	tracked	.py	-	source	-	keep	code/config	-
tests/test_rotated_ep3p_first_recurrent_independent.py	415	1785722079	tracked	.py	-	source	-	keep	code/config	-
tests/test_rotated_ep3p_full_concat_mixes_branches.py	611	1785722079	tracked	.py	-	source	-	keep	code/config	-
tests/test_rotated_ep3p_gamma_once.py	762	1785722101	tracked	.py	-	source	-	keep	code/config	-
