figure_stage,tensor,condition,dataset,prompt_id,turn,cycle_id,token_position,layer_id
D,gsm8k__L1_kdr_cache_FP,FP,gsm8k,0,0,0,6,1
D,gsm8k__L1_kdr_cache_FP,FP,gsm8k,0,0,0,7,1
D,gsm8k__L1_kdr_cache_FP,FP,gsm8k,0,0,0,9,1
D,gsm8k__L1_vdr_cache_FP,FP,gsm8k,0,0,0,0,1
D,gsm8k__L1_vdr_cache_FP,FP,gsm8k,0,0,0,1,1
D,gsm8k__L1_vdr_cache_FP,FP,gsm8k,0,0,0,2,1
D,gsm8k__L1_vdr_cache_FP,FP,gsm8k,0,0,0,3,1
D,gsm8k__L1_vdr_cache_FP,FP,gsm8k,0,0,0,5,1
D,gsm8k__L1_vdr_cache_FP,FP,gsm8k,0,0,0,6,1
D,gsm8k__L1_vdr_cache_FP,FP,gsm8k,0,0,0,7,1
D,gsm8k__L1_vdr_cache_FP,FP,gsm8k,0,0,0,9,1
D,gsm8k__L2_kctx_cache_FP,FP,gsm8k,0,0,0,0,2
D,gsm8k__L2_kctx_cache_FP,FP,gsm8k,0,0,0,16,2
D,gsm8k__L2_kctx_cache_FP,FP,gsm8k,0,0,0,32,2
D,gsm8k__L2_kctx_cache_FP,FP,gsm8k,0,0,0,48,2
D,gsm8k__L2_kctx_cache_FP,FP,gsm8k,0,0,0,65,2
D,gsm8k__L2_kctx_cache_FP,FP,gsm8k,0,0,0,81,2
D,gsm8k__L2_kctx_cache_FP,FP,gsm8k,0,0,0,97,2
D,gsm8k__L2_kctx_cache_FP,FP,gsm8k,0,0,0,114,2
D,gsm8k__L2_vctx_cache_FP,FP,gsm8k,0,0,0,0,2
D,gsm8k__L2_vctx_cache_FP,FP,gsm8k,0,0,0,16,2
D,gsm8k__L2_vctx_cache_FP,FP,gsm8k,0,0,0,32,2
D,gsm8k__L2_vctx_cache_FP,FP,gsm8k,0,0,0,48,2
D,gsm8k__L2_vctx_cache_FP,FP,gsm8k,0,0,0,65,2
D,gsm8k__L2_vctx_cache_FP,FP,gsm8k,0,0,0,81,2
D,gsm8k__L2_vctx_cache_FP,FP,gsm8k,0,0,0,97,2
D,gsm8k__L2_vctx_cache_FP,FP,gsm8k,0,0,0,114,2
D,gsm8k__L2_kdr_cache_FP,FP,gsm8k,0,0,0,0,2
D,gsm8k__L2_kdr_cache_FP,FP,gsm8k,0,0,0,1,2
D,gsm8k__L2_kdr_cache_FP,FP,gsm8k,0,0,0,2,2
D,gsm8k__L2_kdr_cache_FP,FP,gsm8k,0,0,0,3,2
D,gsm8k__L2_kdr_cache_FP,FP,gsm8k,0,0,0,5,2
D,gsm8k__L2_kdr_cache_FP,FP,gsm8k,0,0,0,6,2
D,gsm8k__L2_kdr_cache_FP,FP,gsm8k,0,0,0,7,2
D,gsm8k__L2_kdr_cache_FP,FP,gsm8k,0,0,0,9,2
D,gsm8k__L2_vdr_cache_FP,FP,gsm8k,0,0,0,0,2
D,gsm8k__L2_vdr_cache_FP,FP,gsm8k,0,0,0,1,2
D,gsm8k__L2_vdr_cache_FP,FP,gsm8k,0,0,0,2,2
D,gsm8k__L2_vdr_cache_FP,FP,gsm8k,0,0,0,3,2
D,gsm8k__L2_vdr_cache_FP,FP,gsm8k,0,0,0,5,2
D,gsm8k__L2_vdr_cache_FP,FP,gsm8k,0,0,0,6,2
D,gsm8k__L2_vdr_cache_FP,FP,gsm8k,0,0,0,7,2
D,gsm8k__L2_vdr_cache_FP,FP,gsm8k,0,0,0,9,2
D,gsm8k__L3_kctx_cache_FP,FP,gsm8k,0,0,0,0,3
D,gsm8k__L3_kctx_cache_FP,FP,gsm8k,0,0,0,16,3
D,gsm8k__L3_kctx_cache_FP,FP,gsm8k,0,0,0,32,3
D,gsm8k__L3_kctx_cache_FP,FP,gsm8k,0,0,0,48,3
D,gsm8k__L3_kctx_cache_FP,FP,gsm8k,0,0,0,65,3
D,gsm8k__L3_kctx_cache_FP,FP,gsm8k,0,0,0,81,3
D,gsm8k__L3_kctx_cache_FP,FP,gsm8k,0,0,0,97,3
D,gsm8k__L3_kctx_cache_FP,FP,gsm8k,0,0,0,114,3
D,gsm8k__L3_vctx_cache_FP,FP,gsm8k,0,0,0,0,3
D,gsm8k__L3_vctx_cache_FP,FP,gsm8k,0,0,0,16,3
D,gsm8k__L3_vctx_cache_FP,FP,gsm8k,0,0,0,32,3
D,gsm8k__L3_vctx_cache_FP,FP,gsm8k,0,0,0,48,3
D,gsm8k__L3_vctx_cache_FP,FP,gsm8k,0,0,0,65,3
D,gsm8k__L3_vctx_cache_FP,FP,gsm8k,0,0,0,81,3
D,gsm8k__L3_vctx_cache_FP,FP,gsm8k,0,0,0,97,3
D,gsm8k__L3_vctx_cache_FP,FP,gsm8k,0,0,0,114,3
D,gsm8k__L3_kdr_cache_FP,FP,gsm8k,0,0,0,0,3
D,gsm8k__L3_kdr_cache_FP,FP,gsm8k,0,0,0,1,3
D,gsm8k__L3_kdr_cache_FP,FP,gsm8k,0,0,0,2,3
D,gsm8k__L3_kdr_cache_FP,FP,gsm8k,0,0,0,3,3
D,gsm8k__L3_kdr_cache_FP,FP,gsm8k,0,0,0,5,3
D,gsm8k__L3_kdr_cache_FP,FP,gsm8k,0,0,0,6,3
D,gsm8k__L3_kdr_cache_FP,FP,gsm8k,0,0,0,7,3
D,gsm8k__L3_kdr_cache_FP,FP,gsm8k,0,0,0,9,3
D,gsm8k__L3_vdr_cache_FP,FP,gsm8k,0,0,0,0,3
D,gsm8k__L3_vdr_cache_FP,FP,gsm8k,0,0,0,1,3
D,gsm8k__L3_vdr_cache_FP,FP,gsm8k,0,0,0,2,3
D,gsm8k__L3_vdr_cache_FP,FP,gsm8k,0,0,0,3,3
D,gsm8k__L3_vdr_cache_FP,FP,gsm8k,0,0,0,5,3
D,gsm8k__L3_vdr_cache_FP,FP,gsm8k,0,0,0,6,3
D,gsm8k__L3_vdr_cache_FP,FP,gsm8k,0,0,0,7,3
D,gsm8k__L3_vdr_cache_FP,FP,gsm8k,0,0,0,9,3
D,gsm8k__L4_kctx_cache_FP,FP,gsm8k,0,0,0,0,4
D,gsm8k__L4_kctx_cache_FP,FP,gsm8k,0,0,0,16,4
D,gsm8k__L4_kctx_cache_FP,FP,gsm8k,0,0,0,32,4
D,gsm8k__L4_kctx_cache_FP,FP,gsm8k,0,0,0,48,4
D,gsm8k__L4_kctx_cache_FP,FP,gsm8k,0,0,0,65,4
D,gsm8k__L4_kctx_cache_FP,FP,gsm8k,0,0,0,81,4
D,gsm8k__L4_kctx_cache_FP,FP,gsm8k,0,0,0,97,4
D,gsm8k__L4_kctx_cache_FP,FP,gsm8k,0,0,0,114,4
D,gsm8k__L4_vctx_cache_FP,FP,gsm8k,0,0,0,0,4
D,gsm8k__L4_vctx_cache_FP,FP,gsm8k,0,0,0,16,4
D,gsm8k__L4_vctx_cache_FP,FP,gsm8k,0,0,0,32,4
D,gsm8k__L4_vctx_cache_FP,FP,gsm8k,0,0,0,48,4
D,gsm8k__L4_vctx_cache_FP,FP,gsm8k,0,0,0,65,4
D,gsm8k__L4_vctx_cache_FP,FP,gsm8k,0,0,0,81,4
D,gsm8k__L4_vctx_cache_FP,FP,gsm8k,0,0,0,97,4
D,gsm8k__L4_vctx_cache_FP,FP,gsm8k,0,0,0,114,4
D,gsm8k__L4_kdr_cache_FP,FP,gsm8k,0,0,0,0,4
D,gsm8k__L4_kdr_cache_FP,FP,gsm8k,0,0,0,1,4
D,gsm8k__L4_kdr_cache_FP,FP,gsm8k,0,0,0,2,4
D,gsm8k__L4_kdr_cache_FP,FP,gsm8k,0,0,0,3,4
D,gsm8k__L4_kdr_cache_FP,FP,gsm8k,0,0,0,5,4
D,gsm8k__L4_kdr_cache_FP,FP,gsm8k,0,0,0,6,4
D,gsm8k__L4_kdr_cache_FP,FP,gsm8k,0,0,0,7,4
D,gsm8k__L4_kdr_cache_FP,FP,gsm8k,0,0,0,9,4
D,gsm8k__L4_vdr_cache_FP,FP,gsm8k,0,0,0,0,4
D,gsm8k__L4_vdr_cache_FP,FP,gsm8k,0,0,0,1,4
D,gsm8k__L4_vdr_cache_FP,FP,gsm8k,0,0,0,2,4
D,gsm8k__L4_vdr_cache_FP,FP,gsm8k,0,0,0,3,4
D,gsm8k__L4_vdr_cache_FP,FP,gsm8k,0,0,0,5,4
D,gsm8k__L4_vdr_cache_FP,FP,gsm8k,0,0,0,6,4
D,gsm8k__L4_vdr_cache_FP,FP,gsm8k,0,0,0,7,4
D,gsm8k__L4_vdr_cache_FP,FP,gsm8k,0,0,0,9,4
A,gsm8k__Hconcat_after_R1,FP,gsm8k,0,0,1,0,-1
A,gsm8k__Hconcat_after_R1,FP,gsm8k,0,0,1,16,-1
A,gsm8k__Hconcat_after_R1,FP,gsm8k,0,0,1,33,-1
A,gsm8k__Hconcat_after_R1,FP,gsm8k,0,0,1,50,-1
A,gsm8k__Hconcat_after_R1,FP,gsm8k,0,0,1,67,-1
A,gsm8k__Hconcat_after_R1,FP,gsm8k,0,0,1,84,-1
A,gsm8k__Hconcat_after_R1,FP,gsm8k,0,0,1,101,-1
A,gsm8k__Hconcat_after_R1,FP,gsm8k,0,0,1,118,-1
A,gsm8k__Hconcat_before_R1,FP,gsm8k,0,0,1,0,-1
A,gsm8k__Hconcat_before_R1,FP,gsm8k,0,0,1,16,-1
A,gsm8k__Hconcat_before_R1,FP,gsm8k,0,0,1,33,-1
A,gsm8k__Hconcat_before_R1,FP,gsm8k,0,0,1,50,-1
A,gsm8k__Hconcat_before_R1,FP,gsm8k,0,0,1,67,-1
A,gsm8k__Hconcat_before_R1,FP,gsm8k,0,0,1,84,-1
A,gsm8k__Hconcat_before_R1,FP,gsm8k,0,0,1,101,-1
A,gsm8k__Hconcat_before_R1,FP,gsm8k,0,0,1,118,-1
D,gsm8k__L0_kctx_cache_FP,FP,gsm8k,0,0,1,0,0
D,gsm8k__L0_kctx_cache_FP,FP,gsm8k,0,0,1,16,0
D,gsm8k__L0_kctx_cache_FP,FP,gsm8k,0,0,1,33,0
D,gsm8k__L0_kctx_cache_FP,FP,gsm8k,0,0,1,50,0
D,gsm8k__L0_kctx_cache_FP,FP,gsm8k,0,0,1,67,0
D,gsm8k__L0_kctx_cache_FP,FP,gsm8k,0,0,1,84,0
D,gsm8k__L0_kctx_cache_FP,FP,gsm8k,0,0,1,101,0
D,gsm8k__L0_kctx_cache_FP,FP,gsm8k,0,0,1,118,0
D,gsm8k__L0_vctx_cache_FP,FP,gsm8k,0,0,1,0,0
D,gsm8k__L0_vctx_cache_FP,FP,gsm8k,0,0,1,16,0
D,gsm8k__L0_vctx_cache_FP,FP,gsm8k,0,0,1,33,0
D,gsm8k__L0_vctx_cache_FP,FP,gsm8k,0,0,1,50,0
D,gsm8k__L0_vctx_cache_FP,FP,gsm8k,0,0,1,67,0
D,gsm8k__L0_vctx_cache_FP,FP,gsm8k,0,0,1,84,0
D,gsm8k__L0_vctx_cache_FP,FP,gsm8k,0,0,1,101,0
D,gsm8k__L0_vctx_cache_FP,FP,gsm8k,0,0,1,118,0
D,gsm8k__L0_kdr_cache_FP,FP,gsm8k,0,0,1,0,0
D,gsm8k__L0_kdr_cache_FP,FP,gsm8k,0,0,1,1,0
D,gsm8k__L0_kdr_cache_FP,FP,gsm8k,0,0,1,2,0
D,gsm8k__L0_kdr_cache_FP,FP,gsm8k,0,0,1,3,0
D,gsm8k__L0_kdr_cache_FP,FP,gsm8k,0,0,1,5,0
D,gsm8k__L0_kdr_cache_FP,FP,gsm8k,0,0,1,6,0
D,gsm8k__L0_kdr_cache_FP,FP,gsm8k,0,0,1,7,0
D,gsm8k__L0_kdr_cache_FP,FP,gsm8k,0,0,1,9,0
D,gsm8k__L0_vdr_cache_FP,FP,gsm8k,0,0,1,0,0
D,gsm8k__L0_vdr_cache_FP,FP,gsm8k,0,0,1,1,0
D,gsm8k__L0_vdr_cache_FP,FP,gsm8k,0,0,1,2,0
D,gsm8k__L0_vdr_cache_FP,FP,gsm8k,0,0,1,3,0
D,gsm8k__L0_vdr_cache_FP,FP,gsm8k,0,0,1,5,0
D,gsm8k__L0_vdr_cache_FP,FP,gsm8k,0,0,1,6,0
D,gsm8k__L0_vdr_cache_FP,FP,gsm8k,0,0,1,7,0
D,gsm8k__L0_vdr_cache_FP,FP,gsm8k,0,0,1,9,0
D,gsm8k__L1_kctx_cache_FP,FP,gsm8k,0,0,1,0,1
D,gsm8k__L1_kctx_cache_FP,FP,gsm8k,0,0,1,16,1
D,gsm8k__L1_kctx_cache_FP,FP,gsm8k,0,0,1,33,1
D,gsm8k__L1_kctx_cache_FP,FP,gsm8k,0,0,1,50,1
D,gsm8k__L1_kctx_cache_FP,FP,gsm8k,0,0,1,67,1
D,gsm8k__L1_kctx_cache_FP,FP,gsm8k,0,0,1,84,1
D,gsm8k__L1_kctx_cache_FP,FP,gsm8k,0,0,1,101,1
D,gsm8k__L1_kctx_cache_FP,FP,gsm8k,0,0,1,118,1
D,gsm8k__L1_vctx_cache_FP,FP,gsm8k,0,0,1,0,1
D,gsm8k__L1_vctx_cache_FP,FP,gsm8k,0,0,1,16,1
D,gsm8k__L1_vctx_cache_FP,FP,gsm8k,0,0,1,33,1
D,gsm8k__L1_vctx_cache_FP,FP,gsm8k,0,0,1,50,1
D,gsm8k__L1_vctx_cache_FP,FP,gsm8k,0,0,1,67,1
D,gsm8k__L1_vctx_cache_FP,FP,gsm8k,0,0,1,84,1
D,gsm8k__L1_vctx_cache_FP,FP,gsm8k,0,0,1,101,1
D,gsm8k__L1_vctx_cache_FP,FP,gsm8k,0,0,1,118,1
D,gsm8k__L1_kdr_cache_FP,FP,gsm8k,0,0,1,0,1
D,gsm8k__L1_kdr_cache_FP,FP,gsm8k,0,0,1,1,1
D,gsm8k__L1_kdr_cache_FP,FP,gsm8k,0,0,1,2,1
D,gsm8k__L1_kdr_cache_FP,FP,gsm8k,0,0,1,3,1
D,gsm8k__L1_kdr_cache_FP,FP,gsm8k,0,0,1,5,1
D,gsm8k__L1_kdr_cache_FP,FP,gsm8k,0,0,1,6,1
D,gsm8k__L1_kdr_cache_FP,FP,gsm8k,0,0,1,7,1
D,gsm8k__L1_kdr_cache_FP,FP,gsm8k,0,0,1,9,1
D,gsm8k__L1_vdr_cache_FP,FP,gsm8k,0,0,1,0,1
D,gsm8k__L1_vdr_cache_FP,FP,gsm8k,0,0,1,1,1
D,gsm8k__L1_vdr_cache_FP,FP,gsm8k,0,0,1,2,1
D,gsm8k__L1_vdr_cache_FP,FP,gsm8k,0,0,1,3,1
D,gsm8k__L1_vdr_cache_FP,FP,gsm8k,0,0,1,5,1
D,gsm8k__L1_vdr_cache_FP,FP,gsm8k,0,0,1,6,1
D,gsm8k__L1_vdr_cache_FP,FP,gsm8k,0,0,1,7,1
D,gsm8k__L1_vdr_cache_FP,FP,gsm8k,0,0,1,9,1
D,gsm8k__L2_kctx_cache_FP,FP,gsm8k,0,0,1,0,2
D,gsm8k__L2_kctx_cache_FP,FP,gsm8k,0,0,1,16,2
D,gsm8k__L2_kctx_cache_FP,FP,gsm8k,0,0,1,33,2
D,gsm8k__L2_kctx_cache_FP,FP,gsm8k,0,0,1,50,2
D,gsm8k__L2_kctx_cache_FP,FP,gsm8k,0,0,1,67,2
D,gsm8k__L2_kctx_cache_FP,FP,gsm8k,0,0,1,84,2
D,gsm8k__L2_kctx_cache_FP,FP,gsm8k,0,0,1,101,2
D,gsm8k__L2_kctx_cache_FP,FP,gsm8k,0,0,1,118,2
D,gsm8k__L2_vctx_cache_FP,FP,gsm8k,0,0,1,0,2
D,gsm8k__L2_vctx_cache_FP,FP,gsm8k,0,0,1,16,2
D,gsm8k__L2_vctx_cache_FP,FP,gsm8k,0,0,1,33,2
D,gsm8k__L2_vctx_cache_FP,FP,gsm8k,0,0,1,50,2
D,gsm8k__L2_vctx_cache_FP,FP,gsm8k,0,0,1,67,2
D,gsm8k__L2_vctx_cache_FP,FP,gsm8k,0,0,1,84,2
D,gsm8k__L2_vctx_cache_FP,FP,gsm8k,0,0,1,101,2
D,gsm8k__L2_vctx_cache_FP,FP,gsm8k,0,0,1,118,2
D,gsm8k__L2_kdr_cache_FP,FP,gsm8k,0,0,1,0,2
D,gsm8k__L2_kdr_cache_FP,FP,gsm8k,0,0,1,1,2
D,gsm8k__L2_kdr_cache_FP,FP,gsm8k,0,0,1,2,2
D,gsm8k__L2_kdr_cache_FP,FP,gsm8k,0,0,1,3,2
D,gsm8k__L2_kdr_cache_FP,FP,gsm8k,0,0,1,5,2
D,gsm8k__L2_kdr_cache_FP,FP,gsm8k,0,0,1,6,2
D,gsm8k__L2_kdr_cache_FP,FP,gsm8k,0,0,1,7,2
D,gsm8k__L2_kdr_cache_FP,FP,gsm8k,0,0,1,9,2
D,gsm8k__L2_vdr_cache_FP,FP,gsm8k,0,0,1,0,2
D,gsm8k__L2_vdr_cache_FP,FP,gsm8k,0,0,1,1,2
D,gsm8k__L2_vdr_cache_FP,FP,gsm8k,0,0,1,2,2
D,gsm8k__L2_vdr_cache_FP,FP,gsm8k,0,0,1,3,2
D,gsm8k__L2_vdr_cache_FP,FP,gsm8k,0,0,1,5,2
D,gsm8k__L2_vdr_cache_FP,FP,gsm8k,0,0,1,6,2
D,gsm8k__L2_vdr_cache_FP,FP,gsm8k,0,0,1,7,2
D,gsm8k__L2_vdr_cache_FP,FP,gsm8k,0,0,1,9,2
D,gsm8k__L3_kctx_cache_FP,FP,gsm8k,0,0,1,0,3
D,gsm8k__L3_kctx_cache_FP,FP,gsm8k,0,0,1,16,3
D,gsm8k__L3_kctx_cache_FP,FP,gsm8k,0,0,1,33,3
D,gsm8k__L3_kctx_cache_FP,FP,gsm8k,0,0,1,50,3
D,gsm8k__L3_kctx_cache_FP,FP,gsm8k,0,0,1,67,3
D,gsm8k__L3_kctx_cache_FP,FP,gsm8k,0,0,1,84,3
D,gsm8k__L3_kctx_cache_FP,FP,gsm8k,0,0,1,101,3
D,gsm8k__L3_kctx_cache_FP,FP,gsm8k,0,0,1,118,3
D,gsm8k__L3_vctx_cache_FP,FP,gsm8k,0,0,1,0,3
D,gsm8k__L3_vctx_cache_FP,FP,gsm8k,0,0,1,16,3
D,gsm8k__L3_vctx_cache_FP,FP,gsm8k,0,0,1,33,3
D,gsm8k__L3_vctx_cache_FP,FP,gsm8k,0,0,1,50,3
D,gsm8k__L3_vctx_cache_FP,FP,gsm8k,0,0,1,67,3
D,gsm8k__L3_vctx_cache_FP,FP,gsm8k,0,0,1,84,3
D,gsm8k__L3_vctx_cache_FP,FP,gsm8k,0,0,1,101,3
D,gsm8k__L3_vctx_cache_FP,FP,gsm8k,0,0,1,118,3
D,gsm8k__L3_kdr_cache_FP,FP,gsm8k,0,0,1,0,3
D,gsm8k__L3_kdr_cache_FP,FP,gsm8k,0,0,1,1,3
D,gsm8k__L3_kdr_cache_FP,FP,gsm8k,0,0,1,2,3
D,gsm8k__L3_kdr_cache_FP,FP,gsm8k,0,0,1,3,3
D,gsm8k__L3_kdr_cache_FP,FP,gsm8k,0,0,1,5,3
D,gsm8k__L3_kdr_cache_FP,FP,gsm8k,0,0,1,6,3
D,gsm8k__L3_kdr_cache_FP,FP,gsm8k,0,0,1,7,3
D,gsm8k__L3_kdr_cache_FP,FP,gsm8k,0,0,1,9,3
D,gsm8k__L3_vdr_cache_FP,FP,gsm8k,0,0,1,0,3
D,gsm8k__L3_vdr_cache_FP,FP,gsm8k,0,0,1,1,3
D,gsm8k__L3_vdr_cache_FP,FP,gsm8k,0,0,1,2,3
D,gsm8k__L3_vdr_cache_FP,FP,gsm8k,0,0,1,3,3
D,gsm8k__L3_vdr_cache_FP,FP,gsm8k,0,0,1,5,3
D,gsm8k__L3_vdr_cache_FP,FP,gsm8k,0,0,1,6,3
D,gsm8k__L3_vdr_cache_FP,FP,gsm8k,0,0,1,7,3
D,gsm8k__L3_vdr_cache_FP,FP,gsm8k,0,0,1,9,3
D,gsm8k__L4_kctx_cache_FP,FP,gsm8k,0,0,1,0,4
D,gsm8k__L4_kctx_cache_FP,FP,gsm8k,0,0,1,16,4
D,gsm8k__L4_kctx_cache_FP,FP,gsm8k,0,0,1,33,4
D,gsm8k__L4_kctx_cache_FP,FP,gsm8k,0,0,1,50,4
D,gsm8k__L4_kctx_cache_FP,FP,gsm8k,0,0,1,67,4
D,gsm8k__L4_kctx_cache_FP,FP,gsm8k,0,0,1,84,4
D,gsm8k__L4_kctx_cache_FP,FP,gsm8k,0,0,1,101,4
D,gsm8k__L4_kctx_cache_FP,FP,gsm8k,0,0,1,118,4
D,gsm8k__L4_vctx_cache_FP,FP,gsm8k,0,0,1,0,4
D,gsm8k__L4_vctx_cache_FP,FP,gsm8k,0,0,1,16,4
D,gsm8k__L4_vctx_cache_FP,FP,gsm8k,0,0,1,33,4
D,gsm8k__L4_vctx_cache_FP,FP,gsm8k,0,0,1,50,4
D,gsm8k__L4_vctx_cache_FP,FP,gsm8k,0,0,1,67,4
D,gsm8k__L4_vctx_cache_FP,FP,gsm8k,0,0,1,84,4
D,gsm8k__L4_vctx_cache_FP,FP,gsm8k,0,0,1,101,4
D,gsm8k__L4_vctx_cache_FP,FP,gsm8k,0,0,1,118,4
D,gsm8k__L4_kdr_cache_FP,FP,gsm8k,0,0,1,0,4
D,gsm8k__L4_kdr_cache_FP,FP,gsm8k,0,0,1,1,4
D,gsm8k__L4_kdr_cache_FP,FP,gsm8k,0,0,1,2,4
D,gsm8k__L4_kdr_cache_FP,FP,gsm8k,0,0,1,3,4
D,gsm8k__L4_kdr_cache_FP,FP,gsm8k,0,0,1,5,4
D,gsm8k__L4_kdr_cache_FP,FP,gsm8k,0,0,1,6,4
D,gsm8k__L4_kdr_cache_FP,FP,gsm8k,0,0,1,7,4
D,gsm8k__L4_kdr_cache_FP,FP,gsm8k,0,0,1,9,4
D,gsm8k__L4_vdr_cache_FP,FP,gsm8k,0,0,1,0,4
D,gsm8k__L4_vdr_cache_FP,FP,gsm8k,0,0,1,1,4
D,gsm8k__L4_vdr_cache_FP,FP,gsm8k,0,0,1,2,4
D,gsm8k__L4_vdr_cache_FP,FP,gsm8k,0,0,1,3,4
